pressure, altitude
0.0099485, 79996
0.011052, 79055
0.013435, 77939
0.015380, 77057
0.017873, 75999
0.020770, 75117
0.022390, 74295
0.025249, 73589
0.029342, 72766
0.033088, 71944
0.038452, 71179
0.044018, 70239
0.048899, 69416
0.056825, 68417
0.064081, 67477
0.073358, 66830
0.086539, 65596
0.099067, 64538
0.11864, 63480
0.13379, 62304
0.15315, 61305
0.18341, 60365
0.22296, 59013
0.25910, 57544
0.31974, 56427
0.35519, 55192
0.42536, 54017
0.48693, 52959
0.54911, 51960
0.68789, 50608
0.74714, 49432
0.90148, 48198
1.0795, 46846
1.2735, 45612
1.5023, 44437
1.7991, 43144
2.1545, 41968
2.5801, 40851
3.0897, 39852
3.5905, 38618
4.4980, 37384
5.2271, 36208
6.2596, 34915
7.3843, 33916
8.5813, 32858
10.590, 31447
12.306, 30448
15.650, 29331
18.187, 28097
21.779, 27098
25.692, 25922
30.767, 24806
35.221, 23689
44.791, 22396
55.275, 20985
66.193, 19751
81.686, 18575
99.303, 17282
118.92, 16166
144.56, 14931
170.54, 13756
210.46, 12521
240.92, 11287
292.88, 9817.8
356.04, 8407.2
426.37, 7055.3
502.98, 5821.1
584.51, 4645.5
659.15, 3176.2
777.58, 2000.6
945.28, 413.70
