temperature, altitude
180.31, 79973
183.60, 78989
186.19, 78217
190.16, 77163
192.75, 76320
195.52, 75407
198.97, 74635
203.64, 73230
208.30, 71966
211.93, 70842
216.25, 69931
219.53, 68736
223.50, 67823
226.78, 66911
230.93, 65858
234.73, 64522
238.88, 63681
242.85, 62628
246.82, 61434
250.28, 60380
254.08, 59256
257.53, 58273
260.64, 57289
263.58, 56094
265.31, 54967
267.72, 53912
269.11, 52644
269.80, 51235
270.49, 49754
269.28, 47990
267.72, 47071
265.48, 46010
262.71, 44808
259.95, 43394
255.46, 41837
251.83, 40563
248.55, 39219
243.89, 37450
238.88, 35469
234.38, 33488
230.07, 31579
226.44, 29952
223.50, 28256
219.87, 26700
216.59, 25215
213.48, 23518
210.89, 22034
207.95, 20267
205.19, 18289
203.64, 16806
202.94, 15535
205.02, 13633
207.78, 12790
212.62, 11809
217.80, 11039
223.50, 10270
230.76, 9221.4
236.63, 8523.2
243.54, 7826.3
250.28, 7129.2
256.32, 6360.8
261.68, 5591.5
267.03, 4822.1
271.35, 4333.7
276.88, 3776.2
282.24, 3006.9
287.59, 2378.6
293.46, 1751.0
298.30, 981.07
